"credit.policy","purpose","int.rate","installment","log.annual.inc","dti","fico","days.with.cr.line","revol.bal","revol.util","inq.last.6mths","delinq.2yrs","pub.rec","not.fully.paid"
1,"all_other",0.0743,155.38,11.08214255,0.28,802,4649.958333,1576,5.7,1,0,0,0
1,"debt_consolidation",0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,0
1,"all_other",0.0743,155.38,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,0
1,"all_other",0.0743,155.38,12.20607265,3.72,812,6778.958333,85607,0.7,0,0,0,0
1,"debt_consolidation",0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,0
1,"credit_card",0.1028,275.38,9.798127037,6.4,692,7469.958333,8847,26.9,1,1,0,0
1,"home_improvement",0.0743,155.38,11.91839057,0,777,7128.958333,6053,19.5,0,0,0,0
1,"home_improvement",0.0807,78.42,11.60823564,11.33,762,6059.958333,7274,13.1,0,0,0,0
1,"credit_card",0.087,158.3,11.22524339,15.55,757,4770,66033,23,0,0,0,0
1,"all_other",0.0743,155.38,11.46163217,3.83,772,2535,3660,6.8,0,0,0,0
1,"credit_card",0.0743,155.38,11.35040654,0.31,787,3540,216,0.6,0,0,0,0
1,"credit_card",0.1122,164.23,11.28978191,1.21,672,3990,27185,16.1,3,0,1,0
1,"debt_consolidation",0.0996,161.25,10.77895629,8.03,707,4320,28329,48.6,1,0,0,0
1,"home_improvement",0.0933,159.77,12.10071213,11.93,717,4498.958333,60568,39.2,1,0,0,0
1,"home_improvement",0.0807,156.84,12.10071213,5.55,742,4019,40934,26.3,0,0,0,0
1,"debt_consolidation",0.0743,155.38,11.69524702,2.29,777,3540,8379,16.9,0,0,0,0
1,"small_business",0.087,94.98,10.1266311,14.54,752,2460,3660,7.8,1,0,0,0
1,"home_improvement",0.1028,97.2,12.20607265,0,677,3779.958333,0,0,0,1,0,0
1,"credit_card",0.1122,164.23,10.30895266,18.64,702,5190,15840,47.1,0,0,0,0
1,"credit_card",0.0838,167.02,11.21182037,14.37,797,5610.958333,6844,14.4,0,0,0,0
1,"educational",0.0775,168.6,8.987196821,3,762,6659.958333,1321,16.5,0,0,0,0
1,"all_other",0.0838,160.72,10.37349118,14.78,772,4379,4737,23.9,0,0,0,0
1,"credit_card",0.0901,159.03,11.19821472,9.96,722,3089.958333,23489,37.6,0,0,0,0
1,"debt_consolidation",0.0743,178.69,11.73606902,0.27,792,7488.958333,2817,10.2,0,0,0,0
1,"credit_card",0.0743,155.38,10.71441777,1.12,782,5807,1783,0,1,0,0,0
1,"small_business",0.1028,323.98,10.217422,10.7,712,1379,3534,54.4,0,0,0,0
1,"small_business",0.1059,813.65,10.77895629,4.05,762,2729.958333,2422,23.3,0,0,0,0
1,"educational",0.0996,112.87,9.510444964,16.44,712,1649.958333,2864,41.1,1,0,0,0
1,"debt_consolidation",0.1596,94.88,10.86283777,12.57,627,1409,3075,92.3,1,0,0,0
1,"small_business",0.1059,398.69,11.00209984,17.12,747,14008.95833,17214,8.1,2,1,0,0
1,"credit_card",0.1154,39.6,9.903487553,2.04,662,1139,1153,75.8,2,0,0,0
1,"credit_card",0.1343,678.08,11.88448902,10.15,682,4209.958333,41674,74.1,0,0,0,1
1,"credit_card",0.1249,401.37,11.22524339,15,682,4479,43039,93.4,3,0,0,0
1,"all_other",0.0964,205.45,11.00209984,7.72,712,2293.958333,3362,69.3,0,0,0,0
1,"debt_consolidation",0.1186,397.75,11.08214255,7.14,682,8730,11868,71.9,0,2,0,0
1,"all_other",0.0743,155.38,10.59663473,2.55,772,8189.958333,2562,14,2,0,0,0
1,"all_other",0.1028,113.39,9.903487553,1.5,682,1410,1882,32.4,0,0,0,0
1,"debt_consolidation",0.1186,99.44,10.49551521,7.47,667,2550,1064,70.9,2,0,1,0
1,"credit_card",0.0807,109.79,11.49272276,8.52,752,4979.958333,6432,6,0,1,0,0
1,"all_other",0.1059,32.55,10.43382164,14.47,687,1110,4485,36.9,1,0,0,1
1,"all_other",0.0996,112.87,11.26446411,11.06,702,4979.958333,16310,20.5,0,1,0,0
1,"debt_consolidation",0.0964,160.51,11.77528973,8.55,712,5940,20969,40.2,0,0,0,0
1,"debt_consolidation",0.1375,340.57,10.46310334,17.38,707,2699.958333,22213,65.9,0,0,0,0
1,"home_improvement",0.0775,156.11,12.32385568,6.48,752,5339.958333,2160,2.3,1,0,0,0
1,"credit_card",0.0743,155.38,11.15625052,4.56,812,9809,813,1,0,0,0,0
1,"home_improvement",0.0807,235.25,11.91839057,2.72,757,5202,23678,24.4,4,0,0,0
1,"debt_consolidation",0.0996,257.99,10.77895629,15.13,722,2640,11289,47.8,3,0,0,0
1,"small_business",0.1501,225.37,12.26904744,6.45,677,6240,56411,75.3,0,0,0,1
1,"home_improvement",0.0964,80.26,11.22524339,20,772,4920.958333,269,3.8,3,0,0,1
1,"home_improvement",0.128,84,10.37349118,20,682,5492,3408,35.1,1,0,0,1
1,"debt_consolidation",0.1122,507.46,10.59663473,13.5,712,5368.958333,6513,34.3,3,0,1,1
1,"educational",0.0743,124.31,10.59663473,3.45,772,1739.958333,330,11,0,0,0,0
1,"credit_card",0.087,63.32,11.15625052,6.07,712,2550,5967,19.8,1,0,0,0
1,"all_other",0.1091,130.79,9.798127037,18,707,2192,5533,79.6,1,0,0,0
1,"home_improvement",0.0775,93.67,11.73606902,2.14,762,8370,21050,1,0,0,0,0
1,"all_other",0.0775,93.67,10.81977828,5.35,762,8370,21050,0.7,0,0,0,0
1,"all_other",0.087,88.65,11.69524702,15,742,3026,8155,14.9,1,0,0,0
1,"all_other",0.0964,128.41,11.51292546,15,722,3026,8155,14.9,1,0,0,0
1,"home_improvement",0.087,94.98,11.03488966,12.23,737,2729.958333,3678,30.7,0,0,0,0
1,"debt_consolidation",0.1217,179.8,10.46310334,7.1,662,2944,2040,36.2,2,0,0,0
1,"credit_card",0.1533,444.05,11.00209984,19.52,667,2700.958333,33074,68.8,2,0,0,0
1,"all_other",0.0775,124.89,11.03165864,3.46,747,2519,1918,17.1,0,0,0,0
1,"credit_card",0.1533,644.3,11.40756495,5.24,662,1770,22379,62.2,0,0,0,0
1,"small_business",0.0964,642.02,11.47210347,2.86,737,2190,10296,42.5,0,0,0,1
1,"small_business",0.1154,104.76,9.61580548,12.24,672,1289.958333,2867,55.1,3,0,0,1
1,"debt_consolidation",0.1122,157.66,10.30895266,12.36,682,1770,12310,86.1,0,0,0,0
1,"debt_consolidation",0.087,383.87,11.91839057,4.8,767,13349.95833,61921,39.1,0,0,0,0
1,"credit_card",0.1122,217.6,11.38509209,18,702,3725,16738,26.1,2,0,0,0
1,"all_other",0.0807,297.99,11.05089001,3.49,792,5939,40384,9.2,1,0,0,0
1,"debt_consolidation",0.0775,156.11,10.71441777,5,762,2131,1359,5.6,2,0,0,0
1,"debt_consolidation",0.1154,329.95,12.32385568,20,727,10292,107501,44.8,2,0,0,0
1,"all_other",0.0807,313.67,12.06104687,0.72,787,8010,3054,5.6,3,0,0,0
1,"all_other",0.0807,297.99,11.40756495,2.44,792,8717.958333,40384,9.6,0,0,0,0
1,"home_improvement",0.0933,239.65,11.44035477,9.66,792,4529,128000,0,3,0,0,0
